"TOA5","CR3000","CR3000","2700","CR3000.Std.13","CPU:3d_v2_3.cr3","38941","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_csat","t_hmp","e_hmp"
"TS","RN","m/s","m/s","m/s","C","unitless","C","kPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-13 13:30:16.9",169,"NAN","NAN","NAN","NAN",61502,33.68324,2.541132
"2020-01-13 13:30:17",170,"NAN","NAN","NAN","NAN",61502,33.68324,2.541219
"2020-01-13 13:30:17.1",171,"NAN","NAN","NAN","NAN",61502,33.68159,2.540897
"2020-01-13 13:30:17.2",172,"NAN","NAN","NAN","NAN",61502,33.68491,2.541542
"2020-01-13 13:30:17.3",173,"NAN","NAN","NAN","NAN",61502,33.68159,2.540984
"2020-01-13 13:30:17.4",174,"NAN","NAN","NAN","NAN",61502,33.67992,2.540662
"2020-01-13 13:30:17.5",175,"NAN","NAN","NAN","NAN",61502,33.68159,2.540897
"2020-01-13 13:30:17.6",176,"NAN","NAN","NAN","NAN",61502,33.68159,2.540811
"2020-01-13 13:30:17.7",177,"NAN","NAN","NAN","NAN",61502,33.68159,2.540897
"2020-01-13 13:30:17.8",178,"NAN","NAN","NAN","NAN",61502,33.67826,2.540165
"2020-01-13 13:30:17.9",179,"NAN","NAN","NAN","NAN",61502,33.67992,2.540401
"2020-01-13 13:30:18",180,"NAN","NAN","NAN","NAN",61502,33.68159,2.540637
"2020-01-13 13:30:18.1",181,"NAN","NAN","NAN","NAN",61502,33.68159,2.54055
"2020-01-13 13:30:18.2",182,"NAN","NAN","NAN","NAN",61502,33.67992,2.540314
"2020-01-13 13:30:18.3",183,"NAN","NAN","NAN","NAN",61502,33.68159,2.54055
"2020-01-13 13:30:18.4",184,"NAN","NAN","NAN","NAN",61502,33.68324,2.540698
"2020-01-13 13:30:18.5",185,"NAN","NAN","NAN","NAN",61502,33.68324,2.540698
"2020-01-13 13:30:18.6",186,"NAN","NAN","NAN","NAN",61502,33.68656,2.540996
"2020-01-13 13:30:18.7",187,"NAN","NAN","NAN","NAN",61502,33.68656,2.540996
"2020-01-13 13:30:18.8",188,"NAN","NAN","NAN","NAN",61502,33.68989,2.541554
"2020-01-13 13:30:18.9",189,"NAN","NAN","NAN","NAN",61502,33.68989,2.541554
"2020-01-13 13:30:19",190,"NAN","NAN","NAN","NAN",61502,33.68822,2.541318
"2020-01-13 13:30:19.1",191,"NAN","NAN","NAN","NAN",61502,33.68989,2.541468
"2020-01-13 13:30:19.2",192,"NAN","NAN","NAN","NAN",61502,33.68989,2.541468
"2020-01-13 13:30:19.3",193,"NAN","NAN","NAN","NAN",61502,33.69321,2.541939
"2020-01-13 13:30:19.4",194,"NAN","NAN","NAN","NAN",61502,33.69321,2.541939
"2020-01-13 13:30:19.5",195,"NAN","NAN","NAN","NAN",61502,33.69487,2.542348
"2020-01-13 13:30:19.6",196,"NAN","NAN","NAN","NAN",61502,33.68989,2.541641
"2020-01-13 13:30:19.7",197,"NAN","NAN","NAN","NAN",61502,33.68989,2.541728
"2020-01-13 13:30:19.8",198,"NAN","NAN","NAN","NAN",61502,33.69154,2.54205
"2020-01-13 13:30:19.9",199,"NAN","NAN","NAN","NAN",61502,33.68822,2.541492
"2020-01-13 13:30:20",200,"NAN","NAN","NAN","NAN",61502,33.68656,2.541256
"2020-01-13 13:30:20.1",201,"NAN","NAN","NAN","NAN",61502,33.68822,2.541579
"2020-01-13 13:30:20.2",202,"NAN","NAN","NAN","NAN",61502,33.68491,2.541195
"2020-01-13 13:30:20.3",203,"NAN","NAN","NAN","NAN",61502,33.68822,2.541666
"2020-01-13 13:30:20.4",204,"NAN","NAN","NAN","NAN",61502,33.68656,2.541517
"2020-01-13 13:30:20.5",205,"NAN","NAN","NAN","NAN",61502,33.68656,2.54143
"2020-01-13 13:30:20.6",206,"NAN","NAN","NAN","NAN",61502,33.69321,2.54246
"2020-01-13 13:30:20.7",207,"NAN","NAN","NAN","NAN",61502,33.68989,2.541989
"2020-01-13 13:30:20.8",208,"NAN","NAN","NAN","NAN",61502,33.68324,2.541045
"2020-01-13 13:30:20.9",209,"NAN","NAN","NAN","NAN",61502,33.68491,2.541195
"2020-01-13 13:30:21",210,"NAN","NAN","NAN","NAN",61502,33.68822,2.541666
"2020-01-13 13:30:21.1",211,"NAN","NAN","NAN","NAN",61502,33.68989,2.541989
"2020-01-13 13:30:21.2",212,"NAN","NAN","NAN","NAN",61502,33.68656,2.54143
"2020-01-13 13:30:21.3",213,"NAN","NAN","NAN","NAN",61502,33.68822,2.541753
"2020-01-13 13:30:21.4",214,"NAN","NAN","NAN","NAN",61502,33.68324,2.540959
"2020-01-13 13:30:21.5",215,"NAN","NAN","NAN","NAN",61502,33.68491,2.541195
