"TOA5","CR3000","CR3000","2700","CR3000.Std.13","CPU:3d_v2_3.cr3","38941","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_csat","t_hmp","e_hmp"
"TS","RN","m/s","m/s","m/s","C","unitless","C","kPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-13 17:30:17.1",26067,1.96325,-1.17725,0.36525,26.13864,0,33.60588,2.528069
"2020-01-13 17:30:17.2",26068,5.52775,0.29875,-0.1585,25.81769,0,33.60754,2.528303
"2020-01-13 17:30:17.3",26069,3.17125,-0.7550001,0.435,25.9747,0,33.61086,2.528686
"2020-01-13 17:30:17.4",26070,1.9625,-0.203,-0.34225,26.05237,0,33.6092,2.528538
"2020-01-13 17:30:17.5",26071,1.15175,-0.7595,-0.30675,26.19565,0,33.6092,2.528365
"2020-01-13 17:30:17.6",26072,2.48725,-0.2515,-0.8512501,26.23706,0,33.60588,2.527982
"2020-01-13 17:30:17.7",26073,2.67075,0.02225,-0.47425,26.00748,0,33.60422,2.527834
"2020-01-13 17:30:17.8",26074,2.98875,1.17925,-1.394,26.05753,0,33.60255,2.527599
"2020-01-13 17:30:17.9",26075,2.79975,-1.6665,-0.34075,26.07825,0,33.60588,2.527982
"2020-01-13 17:30:18",26076,4.10525,-0.6135001,-1.0825,26.27155,0,33.60255,2.527685
"2020-01-13 17:30:18.1",26077,3.40475,-0.39225,-1.178,26.01266,0,33.60255,2.527599
"2020-01-13 17:30:18.2",26078,2.7925,-0.96075,-0.7935001,26.07825,0,33.6009,2.527365
"2020-01-13 17:30:18.3",26079,3.0665,0.53125,-0.74825,26.1438,0,33.60422,2.528007
"2020-01-13 17:30:18.4",26080,2.78525,-0.85825,-1.01025,26.29919,0,33.60422,2.528093
"2020-01-13 17:30:18.5",26081,5.005,0.434,-0.43125,26.08859,0,33.60422,2.52792
"2020-01-13 17:30:18.6",26082,3.52625,-1.8635,-0.44925,26.0144,0,33.60422,2.52792
"2020-01-13 17:30:18.7",26083,4.37375,-1.73625,-0.0295,25.67972,0,33.60754,2.528303
"2020-01-13 17:30:18.8",26084,4.934,-1.47575,0.50775,25.93674,0,33.60588,2.528242
"2020-01-13 17:30:18.9",26085,3.90775,-0.181,0.8395001,26.35101,0,33.6092,2.528711
"2020-01-13 17:30:19",26086,3.8585,-0.032,-1.2075,26.12833,0,33.60754,2.528476
"2020-01-13 17:30:19.1",26087,1.36475,-0.35,-1.845,26.20944,0,33.6092,2.528797
"2020-01-13 17:30:19.2",26088,2.83575,-0.6637501,-0.8092501,26.21634,0,33.60588,2.528501
"2020-01-13 17:30:19.3",26089,4.0355,-1.4725,-0.97575,26.22498,0,33.59758,2.527415
"2020-01-13 17:30:19.4",26090,3.489,0.383,-1.13325,26.32855,0,33.59758,2.527328
"2020-01-13 17:30:19.5",26091,2.77875,-1.6865,-0.86775,25.86603,0,33.59425,2.526859
"2020-01-13 17:30:19.6",26092,2.8605,1.24925,-1.58025,26.2543,0,33.59592,2.526834
"2020-01-13 17:30:19.7",26093,2.9845,-0.011,-1.0465,26.4097,0,33.59592,2.526921
"2020-01-13 17:30:19.8",26094,2.546,0.4005,-0.748,26.27502,0,33.5926,2.526538
"2020-01-13 17:30:19.9",26095,2.96425,-1.40875,-0.41525,26.19217,0,33.59592,2.526921
"2020-01-13 17:30:20",26096,4.19475,-1.21425,-0.846,26.07996,0,33.59592,2.527007
"2020-01-13 17:30:20.1",26097,3.4715,0.49125,-1.3735,26.0748,0,33.59592,2.527093
"2020-01-13 17:30:20.2",26098,3.058,0.509,-0.723,26.36481,0,33.59758,2.527156
"2020-01-13 17:30:20.3",26099,5.7715,-0.864,-0.09475,26.11792,0,33.59924,2.527562
"2020-01-13 17:30:20.4",26100,3.02925,-0.3355,-1.2905,26.01956,0,33.59924,2.527389
"2020-01-13 17:30:20.5",26101,3.48975,-0.38575,-0.7195,26.03336,0,33.59425,2.526686
"2020-01-13 17:30:20.6",26102,0.87025,-1.08475,-0.004,26.0144,0,33.59592,2.526921
"2020-01-13 17:30:20.7",26103,2.97175,0.55225,-1.26875,26.1904,0,33.59924,2.527303
"2020-01-13 17:30:20.8",26104,3.735,-1.34225,-0.55175,25.79526,0,33.59758,2.527069
"2020-01-13 17:30:20.9",26105,2.479,0.27625,-0.613,26.36133,0,33.59592,2.526834
"2020-01-13 17:30:21",26106,3.28875,-0.12675,-1.50425,26.23529,0,33.59592,2.526834
"2020-01-13 17:30:21.1",26107,2.388,-0.79725,0.36975,26.07654,0,33.59758,2.527069
"2020-01-13 17:30:21.2",26108,3.72275,0.443,0.04325,26.45114,0,33.59758,2.527069
